"article.title","article.url","company.name","company.website"
"u'The 52 startups that launched at Y Combinator W17 Demo Day 1'","https://techcrunch.com/2017/03/20/yc-demo-day-winter-2017/","['AI', 'YC', 'Sam Altman', 'Altman', 'US', 'Mountain', 'Museum']","https://aon3d.com/, https://www.pantheonvr.com/, http://eatorigin.com/"
"u'If you like to linger where it\u2019s shady the Populele wants to linger too'","https://techcrunch.com/2017/03/20/if-you-like-to-linger-where-its-shady-the-populele-wants-to-linger-too/?ncid=mobilenavtrend","['Old Country Buffet', 'Populele', 'Ukulele Lady', 'Tiptoe', 'Tulips', 'Indiegogo', 'Populele Zhenfund']","https://www.indiegogo.com/projects/populele-the-smart-musical-gift-for-everyone#/"
"u'ARM\u2019s next-gen chip design puts the focus on artificial intelligence'","https://techcrunch.com/2017/03/20/arms-dynamiq-chips/?ncid=mobilenavtrend","['ARM', 'DynamIQ', 'ARM IoT', 'DynamIQ Microsoft', 'ARM Windows Server', 'DynamIQ Article Content']","http://www.theverge.com/2016/12/7/13866936/microsoft-windows-10-arm-desktop-apps-support-qualcomm, https://azure.microsoft.com/en-us/blog/enabling-cloud-workloads-through-innovations-in-silicon/"
"u'Crunch Report | Uber\u2019s President Leaves Company'","https://techcrunch.com/2017/03/20/crunch-report-ubers-president-leaves-company/?ncid=mobilenavtrend","['Jeff Jones', 'Apple', 'SpaceX', 'Dragon', 'ISS', 'Credits', 'Tito Hamze']","n/a"
"u'PlateIQ cooks up $4 million for restaurant management platform'","https://techcrunch.com/2017/03/20/plateiq-cooks-up-4-million-for-restaurant-management-platform/?ncid=mobilenavtrend","['Kitchen Nightmares', 'PlateIQ', 'Eileses Capital', 'Initialized Capital', 'Tamares', 'PlateIQ Nobu Restaurants', 'Thomas Keller Restaurant Group']","https://plateiq.com, http://eileses.com, http://initialized.com"
"u'Adobe launches its Advertising Cloud to manage ads across search, social and TV'","https://techcrunch.com/2017/03/20/adobe-advertising-cloud/?ncid=mobilenavtrend","['Adobe', 'Adobe Summit', 'Adobe Omniture', 'Adobe TubeMogul', 'Adobe Brett Wilson', 'CEO', 'Tubemogul']","https://summit.adobe.com/na/, https://en.wikipedia.org/wiki/Adobe_Marketing_Cloud"
"u'Twitter launching Live video API tomorrow'","https://techcrunch.com/2017/03/20/twitter-live/?ncid=mobilenavtrend","['API', 'API Periscope Producer', 'API Information', 'TechCrunch', 'Telestream', 'Wirecast', 'Livestream Switcher']","https://www.theinformation.com/twitter-broadens-live-video-push"
"u'Vinsight gives grape and almond growers a high-tech crystal ball'","https://techcrunch.com/2017/03/20/vinsight-gives-grape-and-almond-growers-a-high-tech-crystal-ball/?ncid=mobilenavtrend","['Vinsight', 'CEO', 'Megan Nunes', 'Redwood City', 'Vinsight CEO', 'Vinsight Nunes', 'Vinsight Fruition Sciences']","https://www.vinsight.net/about, https://fruitionsciences.com/en/home, http://arable.com"
"u'Mobile advertising startup Databerries raises $16M'","https://techcrunch.com/2017/03/20/mobile-advertising-startup-databerries-raises-16m/?ncid=mobilenavtrend","['Series', 'United', 'Toys R Us', 'Index Ventures', 'ISAI', 'Mosaic Ventures', 'Criteo']","http://databerries.com"
"u'Adobe unifies its digital businesses on a single cloud platform'","https://techcrunch.com/2017/03/20/adobe-unifies-digital-businesses-under-single-experience-cloud/?ncid=mobilenavtrend","['Adobe', 'Las', 'Cloud', 'Adobe Document', 'Marketing', 'Analytics', 'Individuals']","http://www.adobe.com/, https://summit.adobe.com/na/, https://www.crunchbase.com/organization/adobe-systems/acquisitions"
"u'The 52 startups that launched at Y Combinator W17 Demo Day 1'","https://techcrunch.com/2017/03/20/yc-demo-day-winter-2017/?ncid=mobilenavtrend","['AI', 'YC', 'Sam Altman', 'Altman', 'US', 'Mountain', 'Museum']","https://aon3d.com/, https://www.pantheonvr.com/, http://eatorigin.com/"
"u'Japanese Kendama game gets a digital upgrade and a Kickstarter campaign'","https://techcrunch.com/2017/03/20/dendama/","['Kendama', 'Dendama', 'Kendama Dendama', 'Dendama Bluetooth', 'Articles', 'Kendama IoT', 'Japan']","https://www.kickstarter.com/projects/358927398/dendama-the-smart-kendama-take-on-the-world"
"u'You can now save your Instagram Live streams to your camera roll'","https://techcrunch.com/2017/03/20/you-can-now-save-your-instagram-live-streams-to-your-camera-roll/","['Facebook Live', 'Periscope', 'Instagram', 'iOS', 'Android']","https://instagram-press.com/blog/2017/03/20/new-save-your-live-video-to-your-phone/"
"u'Google Maps lets you record your parking location, time left at the meter'","https://techcrunch.com/2017/03/20/google-maps-lets-you-record-your-parking-location-time-left-at-the-meter/","['Apple Maps', 'iOS', 'iOS Apple Maps', 'Bluetooth', 'CarPlay', 'CarPlay Bluetooth', 'Mark Location']","http://appleinsider.com/articles/16/06/14/inside-ios-10-apple-maps-will-remember-where-you-parked-your-car, https://support.apple.com/en-us/HT207227, https://support.apple.com/kb/PH20138?locale=en_US&amp;viewlocale=en_US"
"u'Thirsting for a new media empire, Beautycon raises $9 million'","https://techcrunch.com/2017/03/20/beautycon-is-ready-for-its-closeup/","['Los Angeles', 'Los Angeles Beautycon Festival', 'Beautycon', 'Beautycon YouTube', 'Beautycon Mahdara', 'Iranian', 'Networks']","https://www.wired.com/2017/01/youtube-makeup-stars-beautycon/#slide-x, https://beautycon.com/, https://beautycon.com/box/"
"u'FBI director fact-checks Trump\u2019s tweets'","https://techcrunch.com/2017/03/20/fbi-director-fact-checks-trumps-tweets/","['Congressional', 'FBI', 'James Comey', 'NSA', 'Admiral Mike Rogers', 'Obama', 'Trump Tower']","https://twitter.com/realDonaldTrump/status/837989835818287106, https://twitter.com/POTUS/status/843865267008655360"
"u'Foursquare is launching an analytics platform to help retailers understand foot traffic'","https://techcrunch.com/2017/03/20/foursquare-is-launching-an-analytics-platform-to-help-retailers-understand-foot-traffic/","['Foursquare', 'Mexican', 'Chipotle', 'Foursquare Analytics', 'Swarm', 'Foursquare U.S.', 'Foursquare TGI']","https://medium.com/foursquare-direct/foursquare-predicts-chipotle-s-q1-sales-down-nearly-30-foot-traffic-reveals-the-start-of-a-mixed-78515b2389af#.swzqi1k1a, https://enterprise.foursquare.com/, https://medium.com/foursquare-direct/introducing-foursquare-analytics-a-dynamic-foot-traffic-dashboard-for-brands-9ce60aa93b42#.64ua2d70j"
"u'Formlabs retires the Form 1+ printer'","https://techcrunch.com/2017/03/20/rip-form-1-plus/","['Articles', 'Autodesk', 'Pinshape', 'Formlabs', 'Magic', 'Again', 'New Formlabs']","https://www.kickstarter.com/projects/formlabs/form-1-an-affordable-professional-3d-printer"
"u'PlateIQ cooks up $4 million for restaurant management platform'","https://techcrunch.com/2017/03/20/plateiq-cooks-up-4-million-for-restaurant-management-platform/","['Kitchen Nightmares', 'PlateIQ', 'Eileses Capital', 'Initialized Capital', 'Tamares', 'PlateIQ Nobu Restaurants', 'Thomas Keller Restaurant Group']","https://plateiq.com, http://eileses.com, http://initialized.com"
"u'Vinsight gives grape and almond growers a high-tech crystal ball'","https://techcrunch.com/2017/03/20/vinsight-gives-grape-and-almond-growers-a-high-tech-crystal-ball/","['Vinsight', 'CEO', 'Megan Nunes', 'Redwood City', 'Vinsight CEO', 'Vinsight Nunes', 'Vinsight Fruition Sciences']","https://www.vinsight.net/about, https://fruitionsciences.com/en/home, http://arable.com"
"u'Crunch Report | Uber\u2019s President Leaves Company'","https://techcrunch.com/2017/03/20/crunch-report-ubers-president-leaves-company/","['Jeff Jones', 'Apple', 'SpaceX', 'Dragon', 'ISS', 'Credits', 'Tito Hamze']","n/a"
"u'Adobe launches its Advertising Cloud to manage ads across search, social and TV'","https://techcrunch.com/2017/03/20/adobe-advertising-cloud/","['Adobe', 'Adobe Summit', 'Adobe Omniture', 'Adobe TubeMogul', 'Adobe Brett Wilson', 'CEO', 'Tubemogul']","https://summit.adobe.com/na/, https://en.wikipedia.org/wiki/Adobe_Marketing_Cloud"
"u'Adobe unifies its digital businesses on a single cloud platform'","https://techcrunch.com/2017/03/20/adobe-unifies-digital-businesses-under-single-experience-cloud/","['Adobe', 'Las', 'Cloud', 'Adobe Document', 'Marketing', 'Analytics', 'Individuals']","http://www.adobe.com/, https://summit.adobe.com/na/, https://www.crunchbase.com/organization/adobe-systems/acquisitions"
"u'If you like to linger where it\u2019s shady the Populele wants to linger too'","https://techcrunch.com/2017/03/20/if-you-like-to-linger-where-its-shady-the-populele-wants-to-linger-too/","['Old Country Buffet', 'Populele', 'Ukulele Lady', 'Tiptoe', 'Tulips', 'Indiegogo', 'Populele Zhenfund']","https://www.indiegogo.com/projects/populele-the-smart-musical-gift-for-everyone#/"
"u'ARM\u2019s next-gen chip design puts the focus on artificial intelligence'","https://techcrunch.com/2017/03/20/arms-dynamiq-chips/","['ARM', 'DynamIQ', 'ARM IoT', 'DynamIQ Microsoft', 'ARM Windows Server', 'DynamIQ Article Content']","http://www.theverge.com/2016/12/7/13866936/microsoft-windows-10-arm-desktop-apps-support-qualcomm, https://azure.microsoft.com/en-us/blog/enabling-cloud-workloads-through-innovations-in-silicon/"
"u'Mobile advertising startup Databerries raises $16M'","https://techcrunch.com/2017/03/20/mobile-advertising-startup-databerries-raises-16m/","['Series', 'United', 'Toys R Us', 'Index Ventures', 'ISAI', 'Mosaic Ventures', 'Criteo']","http://databerries.com"
"u'The \u2018Terminator\u2019 of startups says he\u2019s seeing two to four wind-downs a week'","https://techcrunch.com/2017/03/20/the-terminator-of-startups-says-hes-seeing-two-to-four-wind-downs-a-week/","['Marty Pichinson', 'Sherwood Partners', 'Pichinson', 'Sherwood', 'Pichinson Sequoia Capital', 'Microsoft', 'Intel']","https://www.shrwood.com/, https://www.pehub.com/2011/08/silicon-valley%E2%80%99s-undertaker-%E2%80%98we%E2%80%99re-anticipating-a-major-fallout%E2%80%99/, http://www.agencyip.com/"
"u'US authorities ban electronics larger than a phone from flights from 13 countries'","https://techcrunch.com/2017/03/20/us-authorities-ban-electronics-larger-than-a-phone-from-flights-from-13-countries/","['U.S.', 'Eastern', 'African', 'Kindles', 'Jon Ostrower', 'Royal Jordanian Airlines', 'Middle Eastern']","http://money.cnn.com/2017/03/20/news/companies/middle-east-airline-electronics-ban/index.html, https://www.theguardian.com/business/2017/mar/20/us-forbids-devices-larger-cell-phones-flights-13-countries?CMP=share_btn_tw, https://twitter.com/jonostrower/status/843897212052553729"
"u'Twitter launching Live video API tomorrow'","https://techcrunch.com/2017/03/20/twitter-live/","['API', 'API Periscope Producer', 'API Information', 'TechCrunch', 'Telestream', 'Wirecast', 'Livestream Switcher']","https://www.theinformation.com/twitter-broadens-live-video-push"
